epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,255.758,1.15496,1.15804,1.2296,0.71905,0.76155,0.78576,0.57824,0.98522,0.89288,1.1385,0.000706335,0.000706335,0.000706335
57,260.69,1.20718,1.23713,1.27546,0.71954,0.75594,0.78379,0.58636,0.99449,0.8855,1.14202,0.00069682,0.00069682,0.00069682
58,265.748,1.14578,1.14423,1.24333,0.74544,0.77312,0.79502,0.57548,0.99406,0.89567,1.14082,0.000687222,0.000687222,0.000687222
59,270.772,1.1572,1.17482,1.25267,0.7608,0.77358,0.7993,0.5697,1.01057,0.92574,1.1515,0.000677543,0.000677543,0.000677543
60,275.665,1.17455,1.1824,1.24363,0.73367,0.78222,0.8016,0.57081,1.0119,0.96495,1.15496,0.000667789,0.000667789,0.000667789
61,281.22,1.13413,1.17429,1.21204,0.88767,0.70005,0.78714,0.58139,0.95426,0.89143,1.12843,0.000657963,0.000657963,0.000657963
62,286.366,1.14328,1.10844,1.23457,0.9262,0.66234,0.78954,0.5873,0.95958,0.87288,1.1267,0.000648071,0.000648071,0.000648071
63,291.327,1.15537,1.14151,1.27032,0.7243,0.77184,0.82996,0.6207,0.93636,0.85832,1.11112,0.000638115,0.000638115,0.000638115
64,296.394,1.05223,1.0794,1.16965,0.86979,0.74783,0.83833,0.62995,0.92971,0.84738,1.10438,0.000628101,0.000628101,0.000628101
65,301.519,1.13787,1.12267,1.22549,0.94164,0.76346,0.8594,0.65302,0.92447,0.81244,1.10058,0.000618034,0.000618034,0.000618034
66,306.639,1.15056,1.10322,1.22963,0.9281,0.75921,0.86249,0.65464,0.91311,0.81222,1.09383,0.000607916,0.000607916,0.000607916
67,311.791,1.11713,1.06919,1.19402,0.84957,0.75658,0.8696,0.6539,0.91375,0.84997,1.09127,0.000597754,0.000597754,0.000597754
68,316.992,1.12066,1.09858,1.24437,0.86274,0.74519,0.86114,0.65317,0.91481,0.86953,1.09218,0.000587551,0.000587551,0.000587551
69,321.939,1.09145,1.06027,1.22475,0.86622,0.74139,0.86224,0.65316,0.91474,0.86247,1.09496,0.000577311,0.000577311,0.000577311
70,326.899,1.11768,1.0676,1.21503,0.87627,0.75122,0.8626,0.65262,0.90766,0.82788,1.08284,0.00056704,0.00056704,0.00056704
71,331.954,1.07255,1.03955,1.189,0.89175,0.74536,0.8585,0.65579,0.90799,0.8129,1.07879,0.000556742,0.000556742,0.000556742
72,337.613,1.12544,1.10582,1.21287,0.9062,0.7479,0.85706,0.6582,0.89633,0.79269,1.07056,0.000546421,0.000546421,0.000546421
73,345.305,1.06162,1.02794,1.18014,0.92255,0.74261,0.86003,0.66299,0.88415,0.77892,1.06624,0.000536081,0.000536081,0.000536081
74,351.592,1.06395,1.0548,1.20703,0.87829,0.7449,0.86675,0.66488,0.87637,0.79849,1.06672,0.000525728,0.000525728,0.000525728
75,358.687,1.07792,1.00501,1.18316,0.84221,0.7584,0.8641,0.66212,0.87286,0.81694,1.06511,0.000515366,0.000515366,0.000515366
76,365.001,1.05446,0.97219,1.15534,0.79244,0.77669,0.84918,0.65563,0.85905,0.81039,1.06067,0.000505,0.000505,0.000505
77,370.569,1.07154,1.05171,1.19959,0.87387,0.72003,0.84977,0.65279,0.86361,0.79175,1.06951,0.000494634,0.000494634,0.000494634
78,375.87,1.07971,1.03769,1.20647,0.88438,0.74353,0.86679,0.66386,0.85619,0.77302,1.06429,0.000484272,0.000484272,0.000484272
79,380.859,1.08906,1.03471,1.20394,0.87923,0.73455,0.87576,0.66825,0.83971,0.75546,1.05261,0.000473919,0.000473919,0.000473919
80,385.879,1.07047,0.99566,1.19375,0.85264,0.76356,0.874,0.6724,0.83158,0.75243,1.04755,0.000463579,0.000463579,0.000463579
81,390.866,1.00904,0.98526,1.15589,0.87752,0.78284,0.87702,0.67248,0.83818,0.75671,1.04605,0.000453258,0.000453258,0.000453258
82,396.002,1.01444,0.96707,1.14628,0.88034,0.78029,0.88373,0.67698,0.83726,0.74932,1.04375,0.00044296,0.00044296,0.00044296
83,401.019,1.01168,0.9802,1.16339,0.93216,0.77848,0.89268,0.69069,0.80868,0.71936,1.03563,0.000432689,0.000432689,0.000432689
84,406.091,0.97704,0.97809,1.13483,0.93636,0.76875,0.89504,0.69186,0.8134,0.70847,1.03871,0.000422449,0.000422449,0.000422449
85,411.022,1.00024,0.94108,1.1264,0.92952,0.76507,0.90053,0.69749,0.81274,0.70439,1.03583,0.000412246,0.000412246,0.000412246
86,416.008,0.95816,0.96717,1.16826,0.89756,0.77341,0.896,0.68859,0.79987,0.70396,1.02646,0.000402084,0.000402084,0.000402084
87,421.11,1.02466,0.97708,1.15537,0.81634,0.87726,0.90577,0.70006,0.78671,0.69898,1.01778,0.000391966,0.000391966,0.000391966
88,426.029,1.0005,0.92702,1.1454,0.8419,0.88671,0.91125,0.71763,0.75834,0.68099,1.00387,0.000381899,0.000381899,0.000381899
89,431.014,0.90543,0.90357,1.11227,0.85653,0.87964,0.91314,0.71984,0.75452,0.67654,1.00252,0.000371885,0.000371885,0.000371885
90,436.052,0.9884,0.90254,1.16423,0.84345,0.87816,0.92248,0.73092,0.74878,0.67168,1.00024,0.000361929,0.000361929,0.000361929
91,440.906,0.9535,0.9325,1.1387,0.85298,0.87541,0.92676,0.73546,0.74202,0.67584,0.99609,0.000352037,0.000352037,0.000352037
92,445.959,0.96776,0.90744,1.13438,0.80567,0.93016,0.93992,0.74013,0.75524,0.68021,0.9986,0.000342211,0.000342211,0.000342211
93,450.944,0.96915,1.00289,1.18744,0.80644,0.94758,0.94009,0.73575,0.77355,0.68527,1.0036,0.000332457,0.000332457,0.000332457
94,455.918,0.89932,0.87369,1.10484,0.81226,0.94635,0.94154,0.73586,0.76791,0.68165,1.00143,0.000322778,0.000322778,0.000322778
95,460.775,0.9597,0.9102,1.13982,0.92147,0.84667,0.95335,0.75316,0.74121,0.68078,0.99072,0.00031318,0.00031318,0.00031318
96,465.817,0.96464,0.88397,1.11794,0.92029,0.84546,0.9536,0.75525,0.73022,0.67805,0.98603,0.000303665,0.000303665,0.000303665
97,470.829,0.92491,0.89754,1.10618,0.92402,0.85557,0.95521,0.75613,0.71719,0.67215,0.97991,0.000294239,0.000294239,0.000294239
98,475.883,0.93869,0.89994,1.13838,0.80907,0.9653,0.94194,0.73936,0.71883,0.67011,0.9792,0.000284906,0.000284906,0.000284906
99,480.972,0.91914,0.89802,1.11185,0.82735,0.93745,0.94505,0.7361,0.71468,0.65456,0.97489,0.000275668,0.000275668,0.000275668
100,485.903,0.9346,0.91539,1.13203,0.85004,0.93653,0.95094,0.73933,0.71285,0.63788,0.97018,0.000266532,0.000266532,0.000266532
101,490.94,0.91761,0.89686,1.11211,0.85764,0.93067,0.95049,0.73825,0.71421,0.63567,0.96999,0.0002575,0.0002575,0.0002575
102,496.113,0.89499,0.86102,1.08681,0.90311,0.90295,0.95102,0.74417,0.71961,0.62892,0.97018,0.000248577,0.000248577,0.000248577
103,501.058,0.928,0.88902,1.12498,0.90617,0.90629,0.96537,0.75556,0.71725,0.62452,0.96935,0.000239766,0.000239766,0.000239766
104,506.225,0.9307,0.87624,1.10089,0.9034,0.9147,0.95489,0.76368,0.69724,0.61558,0.96264,0.000231071,0.000231071,0.000231071
105,511.216,0.89457,0.83149,1.10225,0.85278,0.9657,0.96753,0.77294,0.69087,0.61379,0.9621,0.000222497,0.000222497,0.000222497
106,516.231,0.93775,0.83645,1.0992,0.91097,0.91534,0.96811,0.78313,0.68314,0.60981,0.96065,0.000214046,0.000214046,0.000214046
107,521.151,0.91966,0.85113,1.10142,0.87142,0.95805,0.96798,0.78434,0.67924,0.60931,0.95797,0.000205723,0.000205723,0.000205723
108,527.176,0.87038,0.83413,1.09533,0.86699,0.96332,0.96624,0.77062,0.67313,0.60406,0.95322,0.000197532,0.000197532,0.000197532
109,534.468,0.88884,0.84417,1.09219,0.87579,0.97276,0.96683,0.77714,0.6721,0.60582,0.95241,0.000189475,0.000189475,0.000189475
110,540.52,0.88179,0.85238,1.11057,0.86982,0.97189,0.96722,0.76981,0.67745,0.61149,0.95426,0.000181557,0.000181557,0.000181557
111,545.85,0.92684,0.86387,1.10522,0.95161,0.88895,0.96701,0.76406,0.691,0.61021,0.95811,0.00017378,0.00017378,0.00017378
112,551.081,0.8382,0.82824,1.0825,0.92129,0.9037,0.96701,0.76853,0.69608,0.61113,0.95967,0.000166149,0.000166149,0.000166149
113,556.148,0.86048,0.83745,1.08772,0.93544,0.96301,0.98248,0.78158,0.68752,0.60465,0.95444,0.000158667,0.000158667,0.000158667
114,561.633,0.85735,0.82772,1.09926,0.92902,0.96478,0.98206,0.79248,0.67698,0.6027,0.94944,0.000151336,0.000151336,0.000151336
115,566.84,0.87422,0.84617,1.09735,0.93,0.95704,0.98222,0.79769,0.66624,0.60232,0.94256,0.000144161,0.000144161,0.000144161
116,572.055,0.90032,0.82846,1.08149,0.9541,0.9439,0.9836,0.80434,0.65335,0.59492,0.93703,0.000137143,0.000137143,0.000137143
117,577.283,0.84766,0.80381,1.055,0.9598,0.94563,0.98307,0.80475,0.6478,0.59649,0.93574,0.000130287,0.000130287,0.000130287
118,582.458,0.8326,0.76764,1.06745,0.95386,0.9511,0.98432,0.80155,0.64328,0.59438,0.93454,0.000123596,0.000123596,0.000123596
119,587.727,0.87784,0.81672,1.09154,0.95297,0.95585,0.98407,0.8033,0.63863,0.59253,0.93347,0.000117072,0.000117072,0.000117072
120,592.907,0.90469,0.86091,1.08578,0.96595,0.95062,0.98458,0.8077,0.63743,0.58653,0.93255,0.000110718,0.000110718,0.000110718
121,598.168,0.86396,0.82804,1.07967,0.96409,0.94745,0.98463,0.80836,0.6389,0.58382,0.93234,0.000104537,0.000104537,0.000104537
122,604.521,0.87117,0.81644,1.07267,0.94878,0.95204,0.986,0.80372,0.64291,0.57906,0.93158,9.85311e-05,9.85311e-05,9.85311e-05
123,611.738,0.84045,0.77659,1.05896,0.95565,0.92625,0.98478,0.79202,0.64386,0.5799,0.93204,9.2704e-05,9.2704e-05,9.2704e-05
124,619.039,0.85111,0.7926,1.06384,0.9468,0.93826,0.98556,0.79283,0.63618,0.57161,0.9297,8.70577e-05,8.70577e-05,8.70577e-05
125,625.599,0.84632,0.80232,1.0714,0.95481,0.92498,0.98549,0.79501,0.63043,0.56808,0.92693,8.15947e-05,8.15947e-05,8.15947e-05
126,632.488,0.82189,0.80086,1.07666,0.95483,0.92088,0.98532,0.79454,0.62921,0.56628,0.92547,7.63174e-05,7.63174e-05,7.63174e-05
127,638.267,0.83485,0.80922,1.05395,0.96281,0.91646,0.98512,0.79618,0.625,0.56299,0.92407,7.12282e-05,7.12282e-05,7.12282e-05
128,644.56,0.80542,0.74806,1.04373,0.96021,0.92033,0.98425,0.79595,0.62196,0.56242,0.92356,6.63292e-05,6.63292e-05,6.63292e-05
129,651.611,0.86623,0.7871,1.06637,0.96152,0.9312,0.98475,0.79941,0.61572,0.55806,0.91997,6.16227e-05,6.16227e-05,6.16227e-05
130,658.548,0.85627,0.81758,1.06364,0.95551,0.93899,0.98476,0.80671,0.61269,0.55794,0.91869,5.71106e-05,5.71106e-05,5.71106e-05
131,664.307,0.83166,0.77866,1.06745,0.95652,0.93283,0.98533,0.81146,0.61041,0.5574,0.91956,5.2795e-05,5.2795e-05,5.2795e-05
132,670.287,0.8376,0.81448,1.0925,0.96057,0.94366,0.98514,0.81516,0.60624,0.55897,0.91829,4.86777e-05,4.86777e-05,4.86777e-05
133,675.972,0.83054,0.87664,1.08759,0.96113,0.9391,0.98518,0.8143,0.60723,0.55976,0.91821,4.47606e-05,4.47606e-05,4.47606e-05
134,681.948,0.80727,0.74515,1.0391,0.95201,0.94246,0.98501,0.81568,0.605,0.55909,0.91865,4.10454e-05,4.10454e-05,4.10454e-05
135,687.767,0.81106,0.74004,1.03679,0.95396,0.94574,0.98602,0.81399,0.60571,0.56016,0.91922,3.75337e-05,3.75337e-05,3.75337e-05
136,693.763,0.8213,0.7396,1.05092,0.95463,0.94683,0.98669,0.81391,0.60372,0.55926,0.91745,3.4227e-05,3.4227e-05,3.4227e-05
137,699.747,0.81101,0.75747,1.04932,0.95427,0.95484,0.98633,0.81633,0.60354,0.55928,0.91692,3.11268e-05,3.11268e-05,3.11268e-05
138,705.671,0.79769,0.72713,1.04189,0.9564,0.95668,0.9876,0.81484,0.60597,0.56154,0.91646,2.82345e-05,2.82345e-05,2.82345e-05
139,711.518,0.87186,0.79972,1.07672,0.95883,0.9492,0.98747,0.81521,0.6046,0.55977,0.91558,2.55513e-05,2.55513e-05,2.55513e-05
140,717.161,0.80178,0.77229,1.05028,0.95285,0.95489,0.98738,0.81496,0.60372,0.55715,0.91675,2.30784e-05,2.30784e-05,2.30784e-05
141,773.006,0.81218,0.90448,1.05517,0.96363,0.95768,0.98753,0.81327,0.61601,0.57513,0.91804,2.08169e-05,2.08169e-05,2.08169e-05
142,780.113,0.75711,0.82565,1.02092,0.95256,0.96783,0.98601,0.8056,0.62824,0.59009,0.92213,1.87678e-05,1.87678e-05,1.87678e-05
143,787.387,0.81384,0.90915,1.08204,0.95814,0.96624,0.98564,0.7918,0.6451,0.61,0.92984,1.6932e-05,1.6932e-05,1.6932e-05
144,793.942,0.77391,0.8389,1.02215,0.9573,0.96303,0.98521,0.78634,0.64904,0.61188,0.93145,1.53102e-05,1.53102e-05,1.53102e-05
145,800.69,0.78125,0.84729,1.03059,0.95775,0.96672,0.98578,0.79024,0.65208,0.61271,0.93335,1.39032e-05,1.39032e-05,1.39032e-05
146,806.921,0.76205,0.81406,1.03745,0.95063,0.96685,0.98527,0.79487,0.64923,0.60841,0.93138,1.27117e-05,1.27117e-05,1.27117e-05
147,813.189,0.80399,0.81306,1.02922,0.94693,0.9669,0.98472,0.79672,0.64665,0.60453,0.93128,1.1736e-05,1.1736e-05,1.1736e-05
148,819.166,0.81452,0.84675,1.04829,0.95411,0.96798,0.98547,0.79082,0.64129,0.59868,0.92928,1.09768e-05,1.09768e-05,1.09768e-05
149,825.633,0.76633,0.81843,1.0036,0.94473,0.96749,0.98449,0.79401,0.64568,0.59689,0.93008,1.04342e-05,1.04342e-05,1.04342e-05
150,831.944,0.79209,0.82516,1.04802,0.94326,0.968,0.98536,0.80239,0.63836,0.59287,0.92704,1.01086e-05,1.01086e-05,1.01086e-05
